navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 20:19:22:491,2025-04-25 20:19:22,45.685353,13.089757,453629.46875,1745612362495,2025-04-25 20:19:22,5.12694,290.28246,-245.84898,380.43647704243,4
25-04-2025 20:19:32:491,2025-04-25 20:19:32,45.055831,12.882648,453193,1745612372495,2025-04-25 20:19:32,-6.83592,280.02858,-267.3333,387.207733274986,4
25-04-2025 20:19:52:491,2025-04-25 20:19:52,43.788104,12.47663,452322.125,1745612392495,2025-04-25 20:19:52,-44.18934,261.47394,-271.48368,379.50587291253,4
25-04-2025 20:20:02:491,2025-04-25 20:20:02,43.156236,12.279463,451892.5,1745612402494,2025-04-25 20:20:02,-60.79086,254.14974,-266.84502,373.488799966488,3
25-04-2025 20:20:22:491,2025-04-25 20:20:22,41.886224,11.892902,451038.71875,1745612422495,2025-04-25 20:20:22,-81.54276,247.55796,-242.43102,355.959217784874,4
25-04-2025 20:20:32:491,2025-04-25 20:20:32,41.251392,11.704275,450617.21875,1745612432494,2025-04-25 20:20:32,-89.1111,247.31382,-225.09708,346.083240176014,3
25-04-2025 20:20:42:491,2025-04-25 20:20:42,40.618691,11.519165,450200.84375,1745612442494,2025-04-25 20:20:42,-98.14428,246.5814,-204.34518,334.950203928749,3
25-04-2025 20:21:02:491,2025-04-25 20:21:02,39.350479,11.156317,449378.15625,1745612462494,2025-04-25 20:21:02,-105.22434,249.0228,-152.09922,310.191375400549,3
25-04-2025 20:21:22:491,2025-04-25 20:21:22,38.073394,10.801246,448566.96875,1745612482493,2025-04-25 20:21:22,-107.66574,245.84898,-93.9939,284.373848611292,2
25-04-2025 20:21:32:491,2025-04-25 20:21:32,37.439129,10.628492,448170.9375,1745612492493,2025-04-25 20:21:32,-109.37472,239.98962,-60.05844,270.490042881538,2
25-04-2025 20:21:52:491,2025-04-25 20:21:52,36.167894,10.288954,447391.75,1745612512493,2025-04-25 20:21:52,-105.95676,220.9467,3.90624,245.070475458643,2
25-04-2025 20:22:02:491,2025-04-25 20:22:02,35.530928,10.122018,447009,1745612522493,2025-04-25 20:22:02,-103.27122,205.0776,32.9589,231.965635367091,2
25-04-2025 20:22:22:491,2025-04-25 20:22:22,34.252251,9.792919,446256.9375,1745612542492,2025-04-25 20:22:22,-99.60912,168.4566,82.27518,212.294154688175,1
25-04-2025 20:22:32:491,2025-04-25 20:22:32,33.614489,9.631625,445890.28125,1745612552492,2025-04-25 20:22:32,-96.19116,147.46056,100.34154,202.646935992703,1
25-04-2025 20:22:52:491,2025-04-25 20:22:52,32.342558,9.315246,445176.65625,1745612572492,2025-04-25 20:22:52,-104.24778,113.28096,111.0837,189.841417870653,1
25-04-2025 20:23:02:491,2025-04-25 20:23:02,31.704697,9.15911,444827.9375,1745612582491,2025-04-25 20:23:02,-108.6423,104.00364,107.66574,184.964369683156,0
25-04-2025 20:23:22:491,2025-04-25 20:23:22,30.42432,8.850472,444147.25,1745612602492,2025-04-25 20:23:22,-122.55828,109.61886,75.92754,181.112721239314,1
25-04-2025 20:23:42:491,2025-04-25 20:23:42,29.146938,8.548504,443494.875,1745612622491,2025-04-25 20:23:42,-117.67548,155.51718,21.9726,196.254699355564,0
25-04-2025 20:24:02:491,2025-04-25 20:24:02,27.863596,8.250666,442867.4375,1745612642490,2025-04-25 20:24:02,-75.43926,219.48186,-51.02526,237.627746646882,1
25-04-2025 20:24:12:491,2025-04-25 20:24:12,27.224782,8.104348,442565.96875,1745612652490,2025-04-25 20:24:12,-35.64444,243.89586,-92.28492,263.196168451328,1
